statistic_name,stage_t,mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_seed,B_boot
Wealth_Paths_IEO,31,1.8011013543347119,1.7684300543125038,1.833783650508741,20260913,2000
Wealth_Paths_IEO,32,1.8183270382297367,1.7856793534673343,1.8512297605886354,20260913,2000
Wealth_Paths_IEO,33,1.833923348263123,1.8014252314899633,1.8675679805715373,20260913,2000
Wealth_Paths_IEO,34,1.8527259763238817,1.820321836377719,1.8859901975371316,20260913,2000
Wealth_Paths_IEO,35,1.868287776559368,1.835634922779569,1.9006634755298946,20260913,2000
Wealth_Paths_IEO,36,1.8802071451289697,1.8474640425615854,1.912583744999988,20260913,2000
Wealth_Paths_IEO,37,1.8938293737760834,1.8611989648956195,1.9266434447413276,20260913,2000
Wealth_Paths_IEO,38,1.906033730817718,1.8733995554358134,1.9389857397211865,20260913,2000
Wealth_Paths_IEO,39,1.9179373966975768,1.88464691150257,1.9509319745446272,20260913,2000
Wealth_Paths_IEO,40,1.926448986982854,1.8933192692952938,1.9599483897302663,20260913,2000
Wealth_Paths_IEO,41,1.9356956143758508,1.9024572932178223,1.969289790322777,20260913,2000
Wealth_Paths_IEO,42,1.9435204699374435,1.9104714819475128,1.9769072062894806,20260913,2000
Wealth_Paths_IEO,43,1.949902093315755,1.9167337307444894,1.9831559321611856,20260913,2000
Wealth_Paths_IEO,44,1.9552059249984644,1.921917877983963,1.9888917226466898,20260913,2000
Wealth_Paths_IEO,45,1.9592628676916723,1.925877181940858,1.9928712953510688,20260913,2000
Wealth_Paths_IEO,46,1.9632597267940888,1.9297907068068176,1.9970001421391788,20260913,2000
Wealth_Paths_IEO,47,1.9661656188161487,1.9327259587430266,1.999716943065282,20260913,2000
Wealth_Paths_IEO,48,1.9688422310471427,1.9353977909354847,2.0026408312635846,20260913,2000
Wealth_Paths_IEO,49,1.9708991849840114,1.9378769255318367,2.0043319766997154,20260913,2000
Wealth_Paths_IEO,50,1.9731592364961799,1.9400898059863296,2.006621477842406,20260913,2000
intercept_gap_sims,0,24.248248684844206,23.25445264205337,25.24274249416909,20260913,2000
intercept_gap_sims,1,19.431696792715645,18.59005291606958,20.283629159112053,20260913,2000
intercept_gap_sims,2,44.968872129245874,36.60756402766221,55.0508202868564,20260913,2000
intercept_gap_sims,3,69.88916814902099,55.83307922461904,85.10244687387419,20260913,2000
intercept_gap_sims,4,90.0247504033876,73.98302687013165,107.08221595223146,20260913,2000
intercept_gap_sims,5,91.8600997596639,76.01248678157245,108.45684317463638,20260913,2000
intercept_gap_sims,6,124.7079202374532,105.01348683384164,145.67548134451357,20260913,2000
intercept_gap_sims,7,117.70683113431194,99.74116846568637,136.0570945893836,20260913,2000
intercept_gap_sims,8,129.43186483201134,109.44463982347467,151.20610081055383,20260913,2000
intercept_gap_sims,9,129.45065471719892,110.14981808754247,149.22322782931352,20260913,2000
intercept_gap_sims,10,115.43242758762639,97.04770833453235,135.5985939407784,20260913,2000
intercept_gap_sims,11,128.9282879522294,109.27421106073935,149.72801372056767,20260913,2000
intercept_gap_sims,12,131.89571680264336,111.51801289305772,153.62885674393883,20260913,2000
intercept_gap_sims,13,128.7355937234247,111.71796472690527,147.19180542176485,20260913,2000
