statistic_name,stage_t,mean,se,median,p95,p99,bootstrap_ci_low,bootstrap_ci_high
slope_angle,0,80.5735828172848,0.0417076976281755,80.6285286553681,83.5184952988664,84.5603246929998,80.4928820457641,80.6522834124116
slope_angle,1,80.5417967984175,0.0413449501838193,80.6500423795492,83.3934928537291,84.3574876819839,80.4631059110707,80.6224153915607
slope_angle,2,80.6007063327017,0.0419183975412483,80.7569572837205,83.4641756074113,84.4594712838332,80.5181572750591,80.682456294717
slope_angle,3,80.5554433650412,0.04215868614828,80.6425410900321,83.5495567124955,84.5310103685162,80.4713465719085,80.640429751171
slope_angle,4,80.6891247312112,0.0412443428529867,80.7767104109419,83.4980472558553,84.4494881456681,80.6067210868481,80.7680092571704
slope_angle,5,80.6648065180041,0.041370328634206,80.8292115225245,83.4490799983822,84.3812221175664,80.5823622383683,80.7463667886193
slope_angle,6,80.6716591094179,0.0421669621088312,80.8262849921633,83.5674439248421,84.5753328799476,80.5862182592298,80.7545913215328
slope_angle,7,80.77052722745,0.0426319212113772,80.8712875634241,83.6762654759537,84.5667021241316,80.6878721465234,80.855648654818
slope_angle,8,80.791311215701,0.0429005670027083,80.8900309610022,83.7790101785137,84.8752368561169,80.7132543327153,80.8777549495015
slope_angle,9,80.8081416356078,0.0421721489537368,80.9318598237331,83.6826253133206,84.8408836601662,80.7281067067697,80.8861771685729
slope_angle,10,80.6993218075998,0.0437067253757046,80.774514956518,83.7461645096606,84.7123280803607,80.6104049228769,80.7808676253204
slope_angle,11,80.8551656468065,0.0426936607348771,80.9535119880267,83.7756057746064,84.9507180748338,80.7739952018167,80.9375209716861
slope_angle,12,80.821713821084,0.0445924055844932,80.99612312591,83.8610397196097,84.623482772401,80.7341217084726,80.9076547148727
slope_angle,13,80.8542585002754,0.0444794505889076,81.0084552859254,83.9496768031751,85.1047021399674,80.7683721557914,80.9397445106551
slope_angle,14,80.8271713900096,0.0441898290790612,80.9695716551931,83.8430624752334,84.7619059204202,80.7414584564439,80.9070831975928
slope_angle,15,80.9407722336682,0.0436937923716875,81.0208035813961,83.9657410479367,84.8913511122737,80.8561430804545,81.0240644752639
slope_angle,16,80.8412631246387,0.0446228120291365,80.9695876081659,83.9433876897023,84.9480013980907,80.7575434790063,80.9274604044238
slope_angle,17,80.9320863566653,0.0437028508141827,81.0161068132081,83.9903819469597,84.9974007364891,80.8449088535988,81.0167425816008
slope_angle,18,80.9286736878858,0.0437866122516712,80.9935484249804,83.9803463527959,84.9034406822631,80.8411456121346,81.0142908540346
slope_angle,19,80.9809255527857,0.0446942164733581,81.0822679747731,84.0598163669998,85.0822378403381,80.8924335190971,81.070755053117
slope_angle,20,80.7743102735902,0.0434755755299465,80.7983673871679,83.8037908521094,84.8506447328266,80.6879201243684,80.8641092658081
slope_angle,21,81.0020735833671,0.0443821888827393,81.1496703706917,84.0509714981388,85.2496351616648,80.9139635523301,81.0876023269306
slope_angle,22,80.9530701267303,0.0450477787487544,81.1082046649379,84.0766733564447,85.1765809160519,80.8669444497418,81.0437480908831
slope_angle,23,80.8557816065024,0.0458537681763743,80.9632613316985,83.9246099183021,85.0213813639446,80.7632074714261,80.9469582993717
slope_angle,24,80.920219789505,0.0458464487150397,81.0492337783041,84.0862790510683,85.0941465121581,80.8295019881014,81.0110451427353
slope_angle,25,80.9927967224733,0.0455329152932406,81.0883658466024,84.162171854272,85.4296234636508,80.901459643678,81.0820048680863
slope_angle,26,80.8738436878561,0.0448380005853126,80.9938554333351,84.0286643026154,84.9921718882,80.7887254685119,80.9617094921451
slope_angle,27,80.813687054628,0.047712430009589,80.9932441270954,84.0404558291831,85.2408407375901,80.7176562866959,80.9037878296452
slope_angle,28,80.8472346162227,0.0462673349543072,80.981967603207,83.9540192867671,85.0521441191461,80.753619873381,80.9422125045732
slope_angle,29,80.6918428784369,0.0481440259972224,80.8614255774521,83.9518259925562,85.1591048486419,80.5967027435229,80.7871609429217
slope_angle,30,80.7494576956466,0.0477280412039655,80.8755497725319,84.0740391933852,85.3669327417277,80.65802235314,80.8430916904274
slope_angle,31,80.5815574565367,0.046716031338891,80.7123879533366,83.7655339594954,85.0279052872033,80.4903272933403,80.6707127135384
slope_angle,32,80.6168601868321,0.0483508136691415,80.7004029685834,83.8885872657372,84.7844759179555,80.5237419281758,80.7139238698459
slope_angle,33,80.4903204858543,0.0482039372900386,80.6716038501822,83.7227110628075,84.8858689992864,80.3918869891758,80.5875498319066
slope_angle,34,80.4077410581366,0.0490070218227385,80.5785610374336,83.7463956082706,84.909344828726,80.3122379885461,80.5002766619706
slope_angle,35,80.270330814231,0.0502602814112115,80.3992869563509,83.6745122566192,84.8541106569073,80.1682166005778,80.3697136839478
slope_angle,36,80.2024250767556,0.0518193650196656,80.3967845000518,83.6411345389818,84.6047493120975,80.0984168376398,80.3026185527758
slope_angle,37,80.078139396778,0.0527796495990095,80.2186111302025,83.6607453108389,84.7305034248737,79.9718649376867,80.183045386365
slope_angle,38,79.7765392630846,0.0534185200574491,79.9531431910737,83.5086327816175,84.931676266091,79.6736553384053,79.8827868806804
slope_angle,39,79.5247384136761,0.0554969194723291,79.6920313375543,83.1985054831587,84.5997703158124,79.4103634258475,79.6332587465787
slope_angle,40,79.1637332329768,0.0578962659954632,79.3516906761678,83.0881349157181,84.6097706914387,79.0561242762475,79.2814338890738
slope_angle,41,78.6966777657777,0.060390055100498,78.8315566864697,82.7685269351335,84.4853268521783,78.5752460207986,78.8136341762812
slope_angle,42,78.3096270045779,0.0619835052177118,78.4422242376006,82.5591067980393,84.1493661512625,78.1912986197309,78.4334824174261
slope_angle,43,77.7642121107657,0.0647431511297527,78.0355090107229,82.1731988047061,83.4639093616528,77.6332990528084,77.8926014736637
slope_angle,44,76.8472165824754,0.068828449440578,77.002537550294,81.5883208601728,83.4404457054473,76.7061717480737,76.9869707447476
slope_angle,45,75.6295177726984,0.0744842316689305,75.7995673718657,80.6404445631464,82.4315869711609,75.4787797024012,75.7755784806196
slope_angle,46,73.5822584803489,0.0840154350391692,73.8747122013564,79.4645353842511,81.2544384215012,73.4168735865386,73.7452868445931
slope_angle,47,69.8240386561433,0.0984204594911056,70.1493860422206,76.7201595294642,79.0392154791834,69.6352824456777,70.022280447709
slope_angle,48,59.4792700357347,0.142901314196917,59.7081505487719,69.5737382721765,73.2499194195098,59.2183182941516,59.7601274500817
slope_angle,49,1.32224130364219,0.0298404707456069,0.982435826966781,3.74391815581959,7.54857316960181,1.26487751871097,1.38148931003342
